Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
564;564;10/01/2020;414000;6088
565;565;14/01/2020;413826;6088
566;566;20/01/2020;327500;6088
567;567;06/01/2020;643815;6088
569;569;20/01/2020;113700;6088
570;570;17/01/2020;1320000;6088
571;571;17/01/2020;483314;6088
572;572;03/02/2020;178140;6088
573;573;20/01/2020;118110;6088
574;574;28/01/2020;622850;6088
575;575;24/01/2020;137009;6088
576;576;24/01/2020;114500;6088
577;577;31/01/2020;50925;6088
578;578;24/01/2020;1852500;6088
579;579;24/01/2020;233470;6088
580;580;07/02/2020;151500;6088
581;581;21/01/2020;117800;6088
582;582;05/02/2020;1022000;6088
583;583;31/01/2020;200150;6088
584;584;24/01/2020;121900;6088
585;585;14/02/2020;294000;6149
586;586;27/01/2020;301150;6088
587;587;06/02/2020;78500;6088
588;588;30/01/2020;376150;6088
589;589;24/01/2020;199500;6088
590;590;05/02/2020;149870;6088
591;591;06/02/2020;107600;6088
592;592;05/02/2020;228800;6088
593;593;06/02/2020;151592;6088
594;594;06/02/2020;417000;6088
595;595;14/02/2020;130940;6088
596;596;13/02/2020;397400;6088
597;597;12/02/2020;77000;6149
598;598;13/02/2020;291550;6088
599;599;12/02/2020;262580;6088
600;600;30/01/2020;1196000;6088
601;601;10/02/2020;325100;6088
602;602;30/01/2020;148113;6088
603;603;04/02/2020;142000;6149
604;604;24/02/2020;175000;6149
605;605;14/02/2020;194460;6088
606;606;17/02/2020;274102;6088
607;607;31/01/2020;205250;6088
608;608;28/02/2020;149450;6088
609;609;25/02/2020;136500;6088
610;610;04/02/2020;211500;6088
611;611;11/02/2020;43560;6088
612;612;14/02/2020;291230;6088
613;613;10/02/2020;153600;6088
614;614;17/02/2020;409000;6088
615;615;06/02/2020;138500;6088
616;616;29/02/2020;302200;6088
617;617;20/02/2020;234820;6088
618;618;21/02/2020;417145;6088
619;619;13/02/2020;309800;6088
620;620;12/02/2020;1076000;6088
621;621;12/02/2020;135500;6088
622;622;15/01/2020;144400;6088
623;623;21/01/2020;238000;6149
624;624;27/02/2020;120625;6088
625;625;17/02/2020;194030;6088
626;626;21/02/2020;532500;6088
627;627;04/03/2020;357100;6088
628;628;19/02/2020;168782.9;6088
629;629;17/02/2020;297000;6088
630;630;16/03/2020;335300;6088
631;631;21/02/2020;208000;6114
632;632;16/03/2020;245600;6088
633;633;09/03/2020;692000;6088
634;634;06/03/2020;230000;6149
635;635;03/03/2020;145825;6149
636;636;06/03/2020;166850;6088
637;637;28/02/2020;202500;6088
638;638;10/03/2020;377600;6088
639;639;05/03/2020;205370;6088
640;640;02/03/2020;196600;6088
641;641;28/02/2020;302500;6088
642;642;05/03/2020;79900;6088
643;643;06/03/2020;616000;6088
644;644;03/03/2020;1755000;6088
645;645;27/03/2020;122500;6088
646;646;16/03/2020;299250;6088
647;647;06/03/2020;685500;6088
648;648;17/03/2020;718626;6088
